Apple;52;A crisp, juicy fruit;gram;100
Banana;89;A sweet, starchy tropical fruit;gram;100
Carrot;41;A crunchy, orange root vegetable;gram;100
Broccoli;34;A green, tree-like vegetable;gram;100
Chicken breast;165;Lean, white meat from poultry;gram;100
Salmon;208;A fatty, pink fish;gram;100
White rice;130;A starchy, refined grain;gram;100
Brown rice;111;A whole grain with a nutty flavor;gram;100
Almonds;575;A crunchy, nutrient-dense nut;gram;100
Greek yogurt;59;A thick, tangy dairy product;gram;100
Skim milk;35;A low-fat dairy beverage;milliliter;100
Orange juice;45;A citrus fruit beverage;milliliter;100
Cola;42;A sweet, carbonated soft drink;milliliter;100
Black coffee;1;A bitter, caffeinated beverage;milliliter;100
Green tea;1;A light, antioxidant-rich beverage;milliliter;100
White bread;266;A refined, soft grain product;gram;100
Whole wheat bread;247;A whole grain, fiber-rich product;gram;100
Cheddar cheese;402;A firm, yellow dairy product;gram;100
Dark chocolate;546;A rich, bitter-sweet treat;gram;100
Strawberries;32;A sweet, red berry fruit;gram;100
Quinoa;120;A protein-rich, gluten-free grain;gram;100
Lentils;116;A small, protein-packed legume;gram;100
Avocado;160;A creamy, green fruit high in healthy fats;gram;100
Olive oil;884;A heart-healthy, plant-based oil;milliliter;100
Red wine;85;A fermented, alcohol-containing grape beverage;milliliter;100
Egg;155;A versatile, protein-rich food;gram;100
Tofu;76;A soy-based, protein-rich food;gram;100
Spinach;23;A leafy, nutrient-dense green;gram;100
Blueberries;57;A sweet, antioxidant-rich berry;gram;100
Oats;389;A nutritious, whole grain cereal;gram;100
